matrix,variant,iterations,time_ms,nnz,l2_norm,residual
/data/matrix/bodyy4.mtx,cg,225,12.920,121938,4.270210e-04,1.254553e-01
/data/matrix/minsurfo.mtx,cg,95,5.490,203622,2.283762e-02,4.180712e-03
/data/matrix/wathen100.mtx,cg,313,17.382,471601,1.528869e-03,6.271358e-02
/data/matrix/wathen120.mtx,cg,350,19.463,565761,2.031172e-10,5.483527e-06
/data/matrix/crystm03.mtx,cg,111,6.579,583770,1.110510e-09,1.323062e-19
/data/matrix/finan512.mtx,cg,57,3.663,596992,1.427021e-10,2.178450e-07
/data/matrix/thermomech_TC.mtx,cg,79,14.907,711558,1.058126e-10,4.773096e-10
/data/matrix/Dubcova2.mtx,cg,192,16.820,1030225,9.102858e-07,2.408438e-04
/data/matrix/thermomech_dM.mtx,cg,79,20.222,1423116,1.049624e-10,1.346023e-12
/data/matrix/qa8fm.mtx,cg,74,5.216,1660579,9.007724e-11,2.274610e-11
/data/matrix/Dubcova3.mtx,cg,214,38.863,3636649,3.020717e-07,1.534502e-04
/data/matrix/tmt_sym.mtx,cg,10000,1949.703,5080961,9.594100e-05,3.262110e-04
/data/matrix/crystm02.mtx,cg,111,6.355,322905,6.157918e+01,6.585080e-09
/data/matrix/cfd1.mtx,cg,1858,145.118,1828364,2.184648e-06,1.447887e-04
/data/matrix/cfd2.mtx,cg,10000,1030.334,3087898,1.192254e-09,2.378515e-07
/data/matrix/bodyy5.mtx,cg,631,33.770,129281,1.110279e-04,6.927612e-01
/data/matrix/bodyy6.mtx,cg,1693,90.333,134748,7.834914e-04,9.013855e+01
/data/matrix/nd6k.mtx,cg,9295,1122.776,6897316,1.033043e+04,4.213296e+01
/data/matrix/af_shell3.mtx,cg,3890,1019.029,17588875,3.594223e-07,2.089920e+00
/data/matrix/af_shell4.mtx,cg,3890,1019.861,17588875,5.475720e-07,3.213421e+00
/data/matrix/af_shell7.mtx,cg,3890,1014.184,17588875,7.619311e-07,4.434491e+00
/data/matrix/af_shell8.mtx,cg,10000,2603.874,17588875,4.158563e-13,1.173132e-08
/data/matrix/Pres_Poisson.mtx,cg,10000,602.806,715804,1.884101e+02,2.568139e+02
/data/matrix/gyro_m.mtx,cg,10000,608.786,340431,1.368781e+03,6.354688e-03
/data/matrix/crankseg_1.mtx,cg,10000,1839.616,10614210,1.942987e+02,1.313385e+13
/data/matrix/crankseg_2.mtx,cg,3340,743.504,14148858,3.373170e+02,1.962705e+13
/data/matrix/cvxbqp1.mtx,cg,10000,674.204,349968,5.886003e-13,3.754520e-05
/data/matrix/gridgena.mtx,cg,96,5.384,512084,8.114178e+01,1.823165e+09
/data/matrix/jnlbrng1.mtx,cg,154,8.862,199200,2.608395e-10,6.033819e-09
/data/matrix/obstclae.mtx,cg,1,0.112,197608,2.209156e-15,5.402127e-14
/data/matrix/torsion1.mtx,cg,1,0.114,197608,2.209156e-15,5.402127e-14
/data/matrix/bundle1.mtx,cg,212,12.401,770901,1.954640e-07,8.009579e+06
/data/matrix/thermal1.mtx,cg,1559,119.647,574458,6.571687e-09,1.862197e-07
/data/matrix/thermal2.mtx,cg,1283,941.027,8580313,1.557327e-03,8.442496e-02
/data/matrix/ted_B.mtx,cg,493,27.152,144579,1.204992e-04,3.528433e-03
/data/matrix/ted_B_unscaled.mtx,cg,41,2.397,144579,7.638569e-06,4.909365e-03
/data/matrix/G2_circuit.mtx,cg,7036,540.815,726674,4.199552e-09,5.716546e-03
/data/matrix/apache1.mtx,cg,1985,121.167,542184,1.522159e+01,1.142755e+03
/data/matrix/apache2.mtx,cg,5432,1263.592,4817870,7.199643e-05,3.957343e-01
/data/matrix/boneS01.mtx,cg,2655,370.106,6715152,5.110147e-05,5.684906e+00
/data/matrix/Dubcova1.mtx,cg,115,6.664,253009,1.531206e-07,2.006274e-05
/data/matrix/parabolic_fem.mtx,cg,2421,583.203,3674625,1.413540e-06,1.934229e-07
/data/matrix/ecology2.mtx,cg,10000,2454.403,4995991,2.788514e-08,1.249025e-06
/data/matrix/cbuckle.mtx,cg,4847,254.624,676515,3.834360e-07,6.577426e-02
/data/matrix/thermomech_TK.mtx,cg,10000,1827.671,711558,5.267085e-13,9.210158e-14
/data/matrix/shallow_water1.mtx,cg,1,1.165,327680,9.147081e-02,1.822975e+11
/data/matrix/shallow_water2.mtx,cg,1,1.159,327680,1.002885e-01,1.988619e+11
/data/matrix/pdb1HYS.mtx,cg,10000,1020.248,4344765,2.687997e+03,2.269869e+05
/data/matrix/Hook_1498.mtx,cg,10000,11175.046,60917445,3.294619e-09,9.255360e-03
/data/matrix/uni_chimera_i1.mtx,cg,9976,3337.685,1100592,1.824744e+04,3.095564e-09
/data/matrix/uni_chimera_i2.mtx,cg,10000,2240.521,797974,1.743459e+03,1.910472e-10
